População Economicamente Ativa (PEA) - Total
Sigla,Código,Município,1970,1980,1991,2000,
BA,2901700,Antônio Cardoso,3883,4426,5011.28904045,5498.0533546,
BA,2901809,Antônio Gonçalves,1754,2123,4467.08299515,3558.02182816,
BA,2901908,Aporá,3411,3970,5374.568978,6823.26671023,
BA,2901957,Apuarema,,,2200.49111516,2983.63134598,
BA,2902005,Aracatu,4165,4864,4397.98620171,6154.64376469,
BA,2902054,Araças,,,2599.11173717,4184.9478989,
BA,2902104,Araci,7690,9269,14623.91353438,18168.0325208,
BA,2902203,Aramari,2278,1878,2475.72952256,3267.64430863,
BA,2902252,Arataca,,,4102.15770893,3898.55661543,
BA,2902302,Aratuípe,2188,2425,2612.72322483,3674.55618635,
BA,2902401,Aurelino Leal,3558,5738,5162.24033293,5828.67602309,
BA,2902500,Baianópolis,2561,2461,3772.84933126,4088.08977878,
BA,2902609,Baixa Grande,5793,5776,5883.59926544,8472.12796074,
BA,2902658,Banzaê,,,4000.71012311,4309.85441793,
BA,2902708,Barra,13141,16137,10704.44392871,14556.01172365,
BA,2902807,Barra da Estiva,4025,3963,6301.74138512,11210.45573299,
BA,2902906,Barra do Choça,3045,9045,9689.16881562,17780.53458812,
BA,2903003,Barra do Mendes,2851,3133,4723.81154672,4996.20431553,
BA,2903102,Barra do Rocha,2858,3836,3151.55236089,2713.08386642,
BA,2903201,Barreiras,5029,13316,34307.47838102,57220.4873073401,
BA,2903235,Barro Alto,,,3932.69898519,5364.83576216,
BA,2903276,Barrocas,,,,,
BA,2903300,Governador Lomanto Júnior,1860,2793,3141.45016836,2940.99920316,
BA,2903409,Belmonte,6147,7230,6893.45319202,7633.23900404,
BA,2903508,Belo Campo,3352,4210,4845.48780431,6965.65467951,
BA,2903607,Biritinga,3093,3512,4620.09492971,8354.25143451,
BA,2903706,Boa Nova,7322,7127,4028.18701492,6132.70351384,
BA,2903805,Boa Vista do Tupim,5434,5324,5676.19946451,5777.34796033,
BA,2903904,Bom Jesus da Lapa,11213,20307,16295.13029302,23047.18946478,
BA,2903953,Bom Jesus da Serra,,,3809.16136011,4444.33442516,
BA,2904001,Boninal,3797,2957,4618.53864361,5159.94539211,
BA,2904050,Bonito,,,4788.98696514,5327.93380698,
BA,2904100,Boquira,4288,5522,5407.13722041,7095.68088413,
BA,2904209,Botuporã,5816,7658,3083.53867819,3902.6189502,
BA,2904308,Brejões,3769,4127,5039.47463489,6902.40785145,
BA,2904407,Brejolândia,2634,2746,3099.38493776,3042.76268796,
